caption,trend_summary,bank,source,article_title,publication_date,is_comparative,document_type,reference,source_type
JPMorgan has thrived in a period of higher interest rates,"The line graph shows the share price of JPMorgan Chase & Co. from 2020 to mid-2024. The stock price experienced volatility with a general upward trend, starting around $100 in 2020, dipping, and then rising to a peak above $200 in 2024 before a slight downturn. The most significant growth occurred from late 2023 into 2024.",jpmorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"Bank of America placed two bankers, including a senior member of its Indian investment banking operation, on leave on Tuesday © Spencer Platt/Getty Images",The image is a photograph of a Bank of America branch front. The caption states that the bank has put two bankers on leave.,bankofamerica,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"JPMorgan is enjoying many happy returns: Return on equity across the bank, %","The bar chart compares the return on equity (ROE) for JPMorgan and Citigroup from 2015 to 2024. In every year presented, JPMorgan's ROE is higher than Citigroup's. The performance gap is particularly pronounced from 2021 onwards. For 2024, based on analyst estimates, JPMorgan's ROE is approximately 14% while Citigroup's is significantly lower at around 5%.",jpmorgan,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,True,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"JPMorgan is enjoying many happy returns: Return on equity across the bank, %","The bar chart compares the return on equity (ROE) for JPMorgan and Citigroup from 2015 to 2024. In every year presented, JPMorgan's ROE is higher than Citigroup's. The performance gap is particularly pronounced from 2021 onwards. For 2024, based on analyst estimates, JPMorgan's ROE is approximately 14% while Citigroup's is significantly lower at around 5%.",citigroup,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,True,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"Citigroup still lagging behind: Return on tangible common equity, Q3 2024 (%)","In Q3 2024, JPMorgan Chase reported the highest Return on Tangible Common Equity (ROTCE) at over 15%. Bank of America and Wells Fargo followed, with ROTCEs between 10% and 15%. Citigroup had the lowest ROTCE among the four banks, at approximately 7%, indicating a significant performance gap with its peers.",jpmorgan,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Citigroup still lagging behind: Return on tangible common equity, Q3 2024 (%)","In Q3 2024, JPMorgan Chase reported the highest Return on Tangible Common Equity (ROTCE) at over 15%. Bank of America and Wells Fargo followed, with ROTCEs between 10% and 15%. Citigroup had the lowest ROTCE among the four banks, at approximately 7%, indicating a significant performance gap with its peers.",bankofamerica,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Citigroup still lagging behind: Return on tangible common equity, Q3 2024 (%)","In Q3 2024, JPMorgan Chase reported the highest Return on Tangible Common Equity (ROTCE) at over 15%. Bank of America and Wells Fargo followed, with ROTCEs between 10% and 15%. Citigroup had the lowest ROTCE among the four banks, at approximately 7%, indicating a significant performance gap with its peers.",citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
Chase UK has attracted more than 2mn customers since it launched © Reuters,"The caption indicates that JPMorgan's Chase UK has successfully acquired over 2 million customers since its launch, signaling strong growth in its customer base.",jpmorgan,Akila Quinio and Joshua Franklin,JPMorgan's Chase UK bank launches first credit card,2024-11-19,False,news,"News article by Akila Quinio and Joshua Franklin
Title: JPMorgan's Chase UK bank launches first credit card, published 2024-11-19",external
Citi's profitability is expected to remain below its rivals,"Based on analyst estimates for full-year 2026, Citigroup's Return on Tangible Equity is forecast to be approximately 9.4%, which is substantially lower than its peers. JPMorgan Chase is expected to lead at 17%, followed by Bank of America at 15% and Wells Fargo at 14%.",jpmorgan,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
Citi's profitability is expected to remain below its rivals,"Based on analyst estimates for full-year 2026, Citigroup's Return on Tangible Equity is forecast to be approximately 9.4%, which is substantially lower than its peers. JPMorgan Chase is expected to lead at 17%, followed by Bank of America at 15% and Wells Fargo at 14%.",bankofamerica,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
Citi's profitability is expected to remain below its rivals,"Based on analyst estimates for full-year 2026, Citigroup's Return on Tangible Equity is forecast to be approximately 9.4%, which is substantially lower than its peers. JPMorgan Chase is expected to lead at 17%, followed by Bank of America at 15% and Wells Fargo at 14%.",citigroup,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
Citi lags behind other big US banks,"From 2021 to 2024, Citigroup's rebased share price has consistently underperformed its major US banking peers. While all bank stocks show volatility, the share prices of JPMorgan Chase, Bank of America, and Wells Fargo have generally outperformed Citigroup, which has shown the least growth in the period.",jpmorgan,Stephen Gandel,Wall Street doubts Citi chief Jane Fraser can hit crucial target,2025-01-08,True,news,"News article by Stephen Gandel
Title: Wall Street doubts Citi chief Jane Fraser can hit crucial target, published 2025-01-08",external
